NCT,PMID,Authors,Year,Trial name,Cancer type,Treatment regimen,Primary endpoint,trial_description,treatment_description,endpoint_description
NCT01042379,32053137,Nanda R et al,2019,I-SPY2,Breast,Pembrolizumab+Paclitaxel,Path CR,I-SPY2 trial focused on breast cancer.,Treatment involved Pembrolizumab combined with Paclitaxel.,The primary endpoint was pathological complete response (path CR).
NCT03043872,31590988,Paz-Ares L et al,2019,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,OS,The CASPIAN trial investigated treatments for Small Cell Lung Cancer.,The treatment regimen consisted of Durvalumab in combination with Etoposide and a Platinum agent.,The primary endpoint for the study was Overall Survival (OS).
NCT03043872,31590988,Paz-Ares L et al,2019,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,OS,CASPIAN trial for small cell lung cancer.,"Treatment regimen includes Durvalumab, Tremelimumab, Etoposide, and a Platinum agent.",The primary endpoint is Overall Survival (OS).
NCT03043872,31590988,Paz-Ares L et al (1),2019,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,OS,The CASPIAN trial investigated treatments for Small Cell Lung Cancer.,The treatment regimen consisted of Durvalumab in combination with Etoposide and a Platinum agent.,The primary endpoint for the study was Overall Survival (OS).
NCT03043872,31590988,Paz-Ares L et al (1),2019,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,OS,CASPIAN trial for small cell lung cancer.,"Treatment regimen includes Durvalumab, Tremelimumab, Etoposide, and a Platinum agent.",The primary endpoint is Overall Survival (OS).
NCT02425891,31786121,Schmid P et al,2019,IMpassion130,Breast,Atezolizumab+Nab-paclitaxel,OS+PFS,IMpassion130 is a trial for breast cancer.,The treatment regimen consists of Atezolizumab combined with Nab-paclitaxel.,The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02358031,31679945,Burtness B et al,2019,KEYNOTE-048,Head and Neck,Pembrolizumab,OS+PFS,KEYNOTE-048 trial for Head and Neck cancer.,Treatment regimen involved Pembrolizumab.,The primary endpoint was Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02358031,31679945,Burtness B et al,2019,KEYNOTE-048,Head and Neck,Pembrolizumab,OS+PFS,KEYNOTE-048 trial in Head and Neck cancer.,Treatment regimen involved Pembrolizumab combined with a Platinum agent and 5-Fluorouracil.,The primary endpoint assessed was Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02358031,31679945,Burtness B et al (1),2019,KEYNOTE-048,Head and Neck,Pembrolizumab+Platinum agent+5-Fluorouracil,OS+PFS,KEYNOTE-048 trial for Head and Neck cancer.,Treatment regimen involved Pembrolizumab.,The primary endpoint was Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02358031,31679945,Burtness B et al (1),2019,KEYNOTE-048,Head and Neck,Pembrolizumab+Platinum agent+5-Fluorouracil,OS+PFS,KEYNOTE-048 trial in Head and Neck cancer.,Treatment regimen involved Pembrolizumab combined with a Platinum agent and 5-Fluorouracil.,The primary endpoint assessed was Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02763579,31959349,Mansfield AS et al,2020,IMpower133,Small Cell Lung,Atezolizumab+Carboplatin+Etoposide,OS+PFS,IMpower133 trial focused on small cell lung cancer.,Treatment regimen included Atezolizumab in combination with Carboplatin and Etoposide.,Primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02362048,32114502,Overman M et al,2020,KEYNOTE144,Pancreatic,Pembrolizumab+Acalabrutinib,Safety,KEYNOTE144 is a trial conducted by Overman M et al in 2020.,Patients were treated with a combination of Pembrolizumab and Acalabrutinib.,The primary endpoint of the trial was safety.
NCT02352948,32201234,Planchard D et al,2020,ARCTIC,Non-Small Cell Lung,Durvalumab,OS+PFS,ARCTIC trial in Non-Small Cell Lung cancer.,Patients received Durvalumab.,The primary endpoint was Overall Survival (OS) plus Progression-Free Survival (PFS).
NCT02352948,32201234,Planchard D et al,2020,ARCTIC,Non-Small Cell Lung,Durvalumab,OS+PFS,ARCTIC trial focused on non-small cell lung cancer.,The treatment regimen involved Tremelimumab.,The primary endpoint was Overall Survival (OS) plus Progression-Free Survival (PFS).
NCT02352948,32201234,Planchard D et al,2020,ARCTIC,Non-Small Cell Lung,Durvalumab,OS+PFS,ARCTIC trial focused on Non-Small Cell Lung Cancer.,Patients were treated with Durvalumab and Tremelimumab combination therapy.,The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02352948,32201234,Planchard D et al (1),2020,ARCTIC,Non-Small Cell Lung,Tremelimumab,OS+PFS,ARCTIC trial in Non-Small Cell Lung cancer.,Patients received Durvalumab.,The primary endpoint was Overall Survival (OS) plus Progression-Free Survival (PFS).
NCT02352948,32201234,Planchard D et al (1),2020,ARCTIC,Non-Small Cell Lung,Tremelimumab,OS+PFS,ARCTIC trial focused on non-small cell lung cancer.,The treatment regimen involved Tremelimumab.,The primary endpoint was Overall Survival (OS) plus Progression-Free Survival (PFS).
NCT02352948,32201234,Planchard D et al (1),2020,ARCTIC,Non-Small Cell Lung,Tremelimumab,OS+PFS,ARCTIC trial focused on Non-Small Cell Lung Cancer.,Patients were treated with Durvalumab and Tremelimumab combination therapy.,The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02352948,32201234,Planchard D et al (2),2020,ARCTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,OS+PFS,ARCTIC trial in Non-Small Cell Lung cancer.,Patients received Durvalumab.,The primary endpoint was Overall Survival (OS) plus Progression-Free Survival (PFS).
NCT02352948,32201234,Planchard D et al (2),2020,ARCTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,OS+PFS,ARCTIC trial focused on non-small cell lung cancer.,The treatment regimen involved Tremelimumab.,The primary endpoint was Overall Survival (OS) plus Progression-Free Survival (PFS).
NCT02352948,32201234,Planchard D et al (2),2020,ARCTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,OS+PFS,ARCTIC trial focused on Non-Small Cell Lung Cancer.,Patients were treated with Durvalumab and Tremelimumab combination therapy.,The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT03036488,32101663,Schmid P et al,2020,KEYNOTE-522,Breast,Pembrolizumab+Paclitaxel+Carboplatin,Path CR+EFS,KEYNOTE-522 trial in Breast cancer.,Treatment regimen is Pembrolizumab combined with Paclitaxel and Carboplatin.,Primary endpoints were pathological complete response (path CR) and event-free survival (EFS).
NCT01274338,31880964,Tarhini AA et al,2020,E1609,Melanoma,Ipilimumab,OS+RFS,E1609 is a trial for melanoma patients.,The treatment regimen involves Ipilimumab.,The primary endpoint is Overall Survival (OS) plus Relapse-Free Survival (RFS).
NCT01274338,31880964,Tarhini AA et al,2020,E1609,Melanoma,Ipilimumab,OS+RFS,E1609 is a trial focusing on melanoma.,The treatment regimen involves Ipilimumab.,The primary endpoint is Overall Survival (OS) and Recurrence-Free Survival (RFS).
NCT01274338,31880964,Tarhini AA et al (1),2020,E1609,Melanoma,Ipilimumab,OS+RFS,E1609 is a trial for melanoma patients.,The treatment regimen involves Ipilimumab.,The primary endpoint is Overall Survival (OS) plus Relapse-Free Survival (RFS).
NCT01274338,31880964,Tarhini AA et al (1),2020,E1609,Melanoma,Ipilimumab,OS+RFS,E1609 is a trial focusing on melanoma.,The treatment regimen involves Ipilimumab.,The primary endpoint is Overall Survival (OS) and Recurrence-Free Survival (RFS).
NCT02523313,32416781,Zimmer L et al,2020,IMMUNED,Melanoma,Nivolumab,RFS,The study is named IMMUNED.,Patients received Nivolumab as treatment.,The primary endpoint was RFS (Relapse-Free Survival).
NCT02523313,32416781,Zimmer L et al,2020,IMMUNED,Melanoma,Nivolumab,RFS,IMMUNED trial focused on melanoma.,Treatment regimen involved a combination of Nivolumab and Ipilimumab.,The primary endpoint was RFS (Relapse-Free Survival).
NCT02523313,32416781,Zimmer L et al (1),2020,IMMUNED,Melanoma,Nivolumab+Ipilimumab,RFS,The study is named IMMUNED.,Patients received Nivolumab as treatment.,The primary endpoint was RFS (Relapse-Free Survival).
NCT02523313,32416781,Zimmer L et al (1),2020,IMMUNED,Melanoma,Nivolumab+Ipilimumab,RFS,IMMUNED trial focused on melanoma.,Treatment regimen involved a combination of Nivolumab and Ipilimumab.,The primary endpoint was RFS (Relapse-Free Survival).
NCT01896869,32591464,Wu AA et al,2020,,Pancreatic,Ipilimumab+GVAX,OS,No trial name provided.,Patients received a treatment regimen of Ipilimumab in combination with GVAX.,The primary endpoint of the trial was Overall Survival (OS).
NCT03066778,32468956,Rudin CM et al,2020,KEYNOTE-604,Small Cell Lung,Pembrolizumab+Etoposide+Platinum agent,OS+PFS,KEYNOTE-604 is a clinical trial investigating a treatment regimen for Small Cell Lung Cancer.,The treatment regimen consists of Pembrolizumab in combination with Etoposide and a Platinum agent.,The primary endpoints of the trial are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02453282,32271377,Rizvi NA et al,2020,MYSTIC,Non-Small Cell Lung,Durvalumab,OS+PFS,MYSTIC trial in Non-Small Cell Lung Cancer.,Treatment with Durvalumab.,Primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02453282,32271377,Rizvi NA et al,2020,MYSTIC,Non-Small Cell Lung,Durvalumab,OS+PFS,MYSTIC trial in non-small cell lung cancer.,Treatment regimen consisted of Durvalumab plus Tremelimumab.,Primary endpoints were overall survival (OS) and progression-free survival (PFS).
NCT02453282,32271377,Rizvi NA et al (1),2020,MYSTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,OS+PFS,MYSTIC trial in Non-Small Cell Lung Cancer.,Treatment with Durvalumab.,Primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02453282,32271377,Rizvi NA et al (1),2020,MYSTIC,Non-Small Cell Lung,Durvalumab+Tremelimumab,OS+PFS,MYSTIC trial in non-small cell lung cancer.,Treatment regimen consisted of Durvalumab plus Tremelimumab.,Primary endpoints were overall survival (OS) and progression-free survival (PFS).
NCT02231749,32661118,Motzer RJ et al,2020,CheckMate 214,Renal cell,Nivolumab+Ipilimumab,OS+PFS+ORR,CheckMate 214 trial in renal cell carcinoma.,Treatment regimen of Nivolumab plus Ipilimumab.,"Primary endpoints were Overall Survival (OS), Progression-Free Survival (PFS), and Objective Response Rate (ORR)."
NCT02367794,32302702,Jotte R et al,2020,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,OS+PFS,IMpower131 trial focused on non-small cell lung cancer.,"Treatment involved a regimen of Atezolizumab, Carboplatin, and Paclitaxel.",The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02367794,32302702,Jotte R et al,2020,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,OS+PFS,IMpower131 is a trial investigating treatments for Non-Small Cell Lung Cancer.,"The treatment regimen consists of Atezolizumab, Carboplatin, and Nab-paclitaxel.",The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02367794,32302702,Jotte R et al (1),2020,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,OS+PFS,IMpower131 trial focused on non-small cell lung cancer.,"Treatment involved a regimen of Atezolizumab, Carboplatin, and Paclitaxel.",The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02367794,32302702,Jotte R et al (1),2020,IMpower131,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,OS+PFS,IMpower131 is a trial investigating treatments for Non-Small Cell Lung Cancer.,"The treatment regimen consists of Atezolizumab, Carboplatin, and Nab-paclitaxel.",The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02908672,32534646,Gutzmer R et al,2020,IMspire150,Melanoma,Atezolizumab+Vemurafenib+Cobimetinib,PFS,IMspire150 trial for melanoma.,"Treatment includes Atezolizumab, Vemurafenib, and Cobimetinib.",The primary endpoint is Progression-Free Survival (PFS).
NCT02017717,32437507,Reardon DA et al,2020,CheckMate 143,Head and Neck,Nivolumab,OS,CheckMate 143 trial for Head and Neck cancer.,Treatment regimen involved Nivolumab.,The primary endpoint was Overall Survival (OS).
NCT02500121,32271672,Galsky MD et al,2020,,Urothelial,Pembrolizumab,PFS,Trial name not specified.,Treatment with Pembrolizumab.,Primary endpoint was PFS (Progression-Free Survival).
NCT02807636,32416780,Galsky MD et al,2020,IMvigor130,Urothelial,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,OS+PFS,IMvigor130 trial in urothelial cancer.,Treatment with Atezolizumab in combination with Gemcitabine and Carboplatin or Cisplatin.,The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02807636,32416780,Galsky MD et al,2020,IMvigor130,Urothelial,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,OS+PFS,IMvigor130 trial for urothelial cancer.,Treatment regimen involved Atezolizumab.,Primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02807636,32416780,Galsky MD et al (1),2020,IMvigor130,Urothelial,Atezolizumab,OS+PFS,IMvigor130 trial in urothelial cancer.,Treatment with Atezolizumab in combination with Gemcitabine and Carboplatin or Cisplatin.,The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02807636,32416780,Galsky MD et al (1),2020,IMvigor130,Urothelial,Atezolizumab,OS+PFS,IMvigor130 trial for urothelial cancer.,Treatment regimen involved Atezolizumab.,Primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT03434379,32402160,Finn RS et al,2020,IMbrave150,Hepatocellular,Atezolizumab+Bevacizumab,OS+PFS,IMbrave150 trial investigated treatments for Hepatocellular carcinoma.,The treatment regimen included Atezolizumab in combination with Bevacizumab.,The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02369874,32294530,Ferris RL et al,2020,EAGLE,Head and Neck,Durvalumab,OS,EAGLE trial investigating a cancer treatment.,Treatment regimen involved Durvalumab.,The primary endpoint was Overall Survival (OS).
NCT02369874,32294530,Ferris RL et al,2020,EAGLE,Head and Neck,Durvalumab,OS,The EAGLE trial studied head and neck cancer.,Treatment consisted of Durvalumab plus Tremelimumab.,The primary endpoint was Overall Survival (OS).
NCT02369874,32294530,Ferris RL et al (1),2020,EAGLE,Head and Neck,Durvalumab+Tremelimumab,OS,EAGLE trial investigating a cancer treatment.,Treatment regimen involved Durvalumab.,The primary endpoint was Overall Survival (OS).
NCT02369874,32294530,Ferris RL et al (1),2020,EAGLE,Head and Neck,Durvalumab+Tremelimumab,OS,The EAGLE trial studied head and neck cancer.,Treatment consisted of Durvalumab plus Tremelimumab.,The primary endpoint was Overall Survival (OS).
NCT02870920,32379280,Chen EX et al,2020,,Colorectal,Durvalumab+Tremelimumab+Best supportive care,OS,No trial name provided.,"Treatment regimen includes Durvalumab, Tremelimumab, and best supportive care.",The primary endpoint is overall survival (OS).
NCT02574598,32271354,Arrieta O et al,2020,PROLUNG,Non-Small Cell Lung,Pembrolizumab+ Docetaxel,ORR,PROLUNG trial for Non-Small Cell Lung cancer.,Treatment regimen included Pembrolizumab and Docetaxel.,The primary endpoint was Overall Response Rate (ORR).
NCT01668784,32673417,Motzer RJ et al,2020,CheckMate 025,Renal cell,Nivolumab,OS,"CheckMate 025 trial by Motzer RJ et al, published in 2020.",Treatment regimen used in the trial was Nivolumab.,The primary endpoint of the trial was Overall Survival (OS).
NCT02684006,32339648,Choueiri TK et al,2020,JAVELIN Renal 101,Renal cell,Avelumab+Axitinib,OS+PFS,JAVELIN Renal 101 is a clinical trial for renal cell carcinoma.,The treatment regimen involves a combination of Avelumab and Axitinib.,The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02142738,27718847,Reck M et al,2016,Keynote-024,Non-Small Cell Lung,Pembrolizumab,PFS,Keynote-024 trial for non-small cell lung cancer.,Treatment with Pembrolizumab.,Primary endpoint was Progression-Free Survival (PFS).
NCT00094653,23942774,McDermott D et al,2013,MDX010-20,Melanoma,Ipilimumab,OS,MDX010-20 was a trial conducted by McDermott D et al.,The treatment regimen in the trial was Ipilimumab.,The primary endpoint of the trial was Overall Survival (OS).
NCT00094653,23942774,McDermott D et al,2013,MDX010-20,Melanoma,Ipilimumab,OS,MDX010-20 trial focused on melanoma.,Treatment involved a combination of ipilimumab and Gp100 vaccine.,The primary endpoint was overall survival (OS).
NCT00094653,23942774,McDermott D et al (1),2013,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,OS,MDX010-20 was a trial conducted by McDermott D et al.,The treatment regimen in the trial was Ipilimumab.,The primary endpoint of the trial was Overall Survival (OS).
NCT00094653,23942774,McDermott D et al (1),2013,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,OS,MDX010-20 trial focused on melanoma.,Treatment involved a combination of ipilimumab and Gp100 vaccine.,The primary endpoint was overall survival (OS).
NCT03051659,32880602,Tolaney SM et al,2020,,Breast,Pembrolizumab+Eribulin,PFS,No trial name provided.,Treatment regimen consisted of Pembrolizumab in combination with Eribulin.,The primary endpoint was Progression-Free Survival (PFS).
NCT02494583,32880601,Shitara K et al,2020,Keynote-062,Gastric/GEJ,Pembrolizumab,OS+PFS,Keynote-062 is a trial investigating treatments for Gastric/GEJ cancer.,The treatment regimen involves the use of Pembrolizumab.,The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02494583,32880601,Shitara K et al,2020,Keynote-062,Gastric/GEJ,Pembrolizumab,OS+PFS,Keynote-062 trial for Gastric/GEJ cancer.,"Treatment regimen included Pembrolizumab, Cisplatin, 5-FU, and Capecitabine.",The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02494583,32880601,Shitara K et al (1),2020,Keynote-062,Gastric/GEJ,Pembrolizumab+Cisplatin+5-FU+Capecitabine,OS+PFS,Keynote-062 is a trial investigating treatments for Gastric/GEJ cancer.,The treatment regimen involves the use of Pembrolizumab.,The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02494583,32880601,Shitara K et al (1),2020,Keynote-062,Gastric/GEJ,Pembrolizumab+Cisplatin+5-FU+Capecitabine,OS+PFS,Keynote-062 trial for Gastric/GEJ cancer.,"Treatment regimen included Pembrolizumab, Cisplatin, 5-FU, and Capecitabine.",The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02819518,33278935,Cortes J et al,2020,MK-3475/Keynote-355,Breast,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,OS+PFS,MK-3475/Keynote-355 is a clinical trial.,"Patients received pembrolizumab in combination with nab-paclitaxel, paclitaxel, or gemcitabine plus carboplatin.",The primary endpoints were overall survival (OS) and progression-free survival (PFS).
NCT02516241,32971005,Powles T et al,2020,DANUBE,Urothelial,Durvalumab,OS,The trial name is DANUBE.,The treatment regimen consists of Durvalumab.,The primary endpoint is Overall Survival (OS).
NCT02516241,32971005,Powles T et al,2020,DANUBE,Urothelial,Durvalumab,OS,DANUBE is a trial investigating treatments for Urothelial cancer.,Patients received Durvalumab in combination with Tremelimumab.,The primary endpoint was Overall Survival (OS).
NCT02516241,32971005,Powles T et al (1),2020,DANUBE,Urothelial,Durvalumab+Tremelimumab,OS,The trial name is DANUBE.,The treatment regimen consists of Durvalumab.,The primary endpoint is Overall Survival (OS).
NCT02516241,32971005,Powles T et al (1),2020,DANUBE,Urothelial,Durvalumab+Tremelimumab,OS,DANUBE is a trial investigating treatments for Urothelial cancer.,Patients received Durvalumab in combination with Tremelimumab.,The primary endpoint was Overall Survival (OS).
NCT03197935,32966830,Mittendorf EA et al,2020,IMpassion031,Breast,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Path CR in ITT+Path CR in PD-L1+,IMpassion031 trial focused on breast cancer.,"Treatment involved Atezolizumab, Nab-paclitaxel, Doxorubicin, Cyclophosphamide, and Filgrastim/Pegfilgrastim.",Primary endpoint was pathological complete response (Path CR) in the intention-to-treat (ITT) population and in the PD-L1 positive subgroup.
NCT02603432,32945632,Powles T et al,2020,,Urothelial,Avelumab+Best Supportive Care,OS,No trial name provided.,Treatment regimen: Avelumab + Best Supportive Care.,Primary endpoint: Overall Survival (OS).
NCT02625610,33197226,Moehler M et al,2020,Javelin Gastric 100,Gastric/GEJ,Avelumab,OS,Javelin Gastric 100 trial focused on Gastric/GEJ cancer.,Patients received Avelumab as a treatment regimen.,The primary endpoint was Overall Survival (OS).
NCT02899299,33485464,Baas P et al.,2021,CheckMate 743,Mesothelioma,Nivolumab+Ipilimumab,OS,CheckMate 743 is a trial evaluating treatments for mesothelioma.,The treatment regimen involves a combination of Nivolumab and Ipilimumab.,The primary endpoint of the trial is Overall Survival (OS).
NCT02409342,32997907,Herbst RS et al.,2020,IMpower110,Non-Small Cell Lung,Atezolizumab,OS,IMpower110 trial in non-small cell lung cancer.,Treatment with atezolizumab.,Primary endpoint was overall survival (OS).
NCT02924883,33002436,Emens LA et al,2020,KATE2,Breast,Atezolizumab,PFS,KATE2 trial for breast cancer.,Treatment regimen involves Atezolizumab.,The primary endpoint is Progression-Free Survival (PFS).
NCT02853331,33284113,Powles T et al. ,2020,Keynote-426,Renal cell,Pembrolizumab+Axitinib,OS+PFS,Keynote-426 is a trial for renal cell carcinoma.,The treatment regimen is Pembrolizumab in combination with Axitinib.,The primary endpoints are Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02657434,33333328,Nishio M et al,2020,Impower 132,NSCLC,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,PFS+OS,Impower 132 is a trial for NSCLC patients.,Patients received Atezolizumab in combination with Carboplatin or Cisplatin and Pemetrexed.,The primary endpoints were Progression-Free Survival (PFS) and Overall Survival (OS).
NCT02564263,33026938,Kojima T et al.,2020,KEYNOTE-181,Esophageal/GEJ,Pembrolizumab,OS,KEYNOTE-181 was a trial investigating treatments for Esophageal/GEJ cancer.,The treatment regimen in this study involved Pembrolizumab.,The primary endpoint of the trial was Overall Survival (OS).
NCT00861614,32811715,Fizazi K et al.,2020,CA184-043,Prostate,Ipilimumab,OS,CA184-043 is the trial name.,The treatment regimen involves Ipilimumab.,The primary endpoint is Overall Survival (OS).
NCT01721772,32997575,Robert C et al,2020,CheckMate 066,Melanoma,Nivolumab,OS,"CheckMate 066 was a trial by Robert C et al, published in 2020.",The treatment regimen in the trial was Nivolumab.,The primary endpoint of the trial was Overall Survival (OS).
NCT02130466,33361337,Ferrucci PF et al,2020,KEYNOTE-022,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,PFS,KEYNOTE-022 is a trial related to melanoma.,"The treatment regimen is a combination of Pembrolizumab, Dabrafenib, and Trametinib.",The primary endpoint is Progression-Free Survival (PFS).
NCT03043872,33285097,Goldman JW et al,2020,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,OS,CASPIAN trial for small cell lung cancer.,"Treatment regimen included Durvalumab, Tremelimumab, Etoposide, and a Platinum agent.",The primary endpoint was Overall Survival (OS).
NCT03043872,33285097,Goldman JW et al,2020,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,OS,CASPIAN trial for Small Cell Lung cancer.,"Treatment with Durvalumab, Etoposide, and a Platinum agent.",Overall Survival (OS) was the primary endpoint.
NCT03043872,33285097,Goldman JW et al (1),2020,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,OS,CASPIAN trial for small cell lung cancer.,"Treatment regimen included Durvalumab, Tremelimumab, Etoposide, and a Platinum agent.",The primary endpoint was Overall Survival (OS).
NCT03043872,33285097,Goldman JW et al (1),2020,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,OS,CASPIAN trial for Small Cell Lung cancer.,"Treatment with Durvalumab, Etoposide, and a Platinum agent.",Overall Survival (OS) was the primary endpoint.
NCT02991482,32976938,Popat S et al. ,2020,PROMISE-meso,Mesothelioma,Pembrolizumab,PFS,PROMISE-meso trial focusing on Mesothelioma.,Patients were treated with Pembrolizumab.,The primary endpoint was Progression-Free Survival (PFS).
NCT02563002,33264544,Andre T et al.,2020,MK-3475/Keynote-177,Colorectal,Pembrolizumab,PFS+OS,MK-3475/Keynote-177 trial focused on colorectal cancer.,The treatment regimen involved Pembrolizumab.,The primary endpoint was Progression-Free Survival (PFS) and Overall Survival (OS).
NCT02362594,32946353,Eggermont AMM et al,2020,EORTC 1325-MG/KEYNOTE-054,Melanoma,Pembrolizumab,RFS,EORTC 1325-MG/KEYNOTE-054 is a trial conducted by Eggermont AMM et al.,The treatment regimen includes Pembrolizumab.,The primary endpoint is RFS (Relapse-Free Survival).
NCT00636168,25840693,Eggermont AMM et al,2015,,Melanoma,Ipilimumab,PFS,No trial name provided.,Patients received ipilimumab as the treatment regimen.,The primary endpoint was progression-free survival (PFS).
NCT01903993,33166718,Mazieres J et al,2020,POPLAR,Non-Small Cell Lung,Atezolizumab,OS,POPLAR trial in Non-Small Cell Lung Cancer.,Treatment with Atezolizumab.,Primary endpoint was Overall Survival (OS).
NCT02008227,33166718,Mazieres J et al,2020,OAK,Non-Small Cell Lung,Atezolizumab,OS,OAK trial focused on non-small cell lung cancer.,Treatment regimen involved Atezolizumab.,The primary endpoint was Overall Survival (OS).
NCT02811861,33616314,Motzer R et al,2021,CLEAR,Renal cell,Pembrolizumab+Lenvatinib,PFS,CLEAR trial for renal cell carcinoma.,Treatment with Pembrolizumab and Lenvatinib.,Primary endpoint was Progression-Free Survival (PFS).
NCT03215706,33476593,Paz-Ares L et al,2021,CheckMate 9LA,Non-Small Cell Lung,Nivolumab+Ipilimumab+Chemotherapy,OS,CheckMate 9LA is a trial investigating treatment options for non-small cell lung cancer.,The treatment regimen consists of nivolumab plus ipilimumab in combination with chemotherapy.,The primary endpoint of the trial is overall survival (OS).
NCT02481830,33539946,Spigel DR et al,2021,CheckMate 331,Small Cell Lung,Nivolumab,OS,CheckMate 331 trial for small cell lung cancer.,Treatment regimen involved Nivolumab.,The primary endpoint was Overall Survival (OS).
NCT03141177,33657295,Choueiri TK et al,2021,CheckMate 9ER,Renal cell,Nivolumab+Cabozantinib,PFS,CheckMate 9ER trial.,Treatment regimen involved Nivolumab in combination with Cabozantinib.,The primary endpoint was Progression-Free Survival (PFS).
NCT02538666,33683919,Owonikoko TK et al,2021,CheckMate 451,Small Cell Lung,Nivolumab+Ipilimumab,OS,"CheckMate 451, a trial for small cell lung cancer.",Treatment regimen: Nivolumab plus Ipilimumab.,Primary endpoint: Overall Survival (OS).
NCT02538666,33683919,Owonikoko TK et al,2021,CheckMate 451,Small Cell Lung,Nivolumab+Ipilimumab,OS,CheckMate 451 is a clinical trial.,The treatment regimen includes Nivolumab.,
NCT02538666,33683919,Owonikoko TK et al,2021,CheckMate 451,Small Cell Lung,Nivolumab,,"CheckMate 451, a trial for small cell lung cancer.",Treatment regimen: Nivolumab plus Ipilimumab.,Primary endpoint: Overall Survival (OS).
NCT02538666,33683919,Owonikoko TK et al,2021,CheckMate 451,Small Cell Lung,Nivolumab,,CheckMate 451 is a clinical trial.,The treatment regimen includes Nivolumab.,
NCT02299999,33462450,Bachelot T et al,2021,SAFIR02-BREAST IMMUNO,Breast,Durvalumab,PFS,SAFIR02-BREAST IMMUNO trial focused on breast cancer.,The treatment regimen involved Durvalumab.,The primary endpoint was Progression-Free Survival (PFS).
NCT02684292,33721562,Kuruvilla J et al,2021,Keynote-204,Hodgkin Lymphoma,Pembrolizumab,PFS+OS,Keynote-204 is a trial for Hodgkin Lymphoma.,Patients received Pembrolizumab.,The primary endpoint was Progression-Free Survival (PFS) and Overall Survival (OS).
