row_index,question,final_json,audit_json
40,"Which trials had a multikinase inhibitor (e.g., sorafenib) as the control treatment?	""","{""selected_filter"": {""Control Arm"": ""Multikinase inhibitor""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Treatment regimen"", ""Column 8"": ""Control regimen"", ""Column 9"": ""Trial phase"", ""Column 10"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
41,"Which trials used a therapeutic vaccine as the control arm?	""","{""selected_filter"": {""Control Arm"": ""Vaccine""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Control regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
42,"Was radiotherapy alone ever used as a control arm in these trials?	""","{""selected_filter"": {""Control Arm"": ""Radiation""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Trial phase"", ""Column 8"": ""Control regimen"", ""Column 9"": ""Type of control""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
43,"Which immunotherapy trials have been conducted in the adjuvant setting for melanoma?	""","{""selected_filter"": {""Cancer Type"": ""Melanoma"", ""Clinical Setting"": ""Adjuvant""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Primary endpoint"", ""Column 10"": ""Total sample size""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
44,"List any trials using neoadjuvant (pre-surgical) immunotherapy in NSCLC and their primary endpoints.	""","{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Clinical Setting"": ""Neoadjuvant""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
45,"Which trials used pathologic complete response (pCR) as a primary endpoint? (Common in neoadjuvant studies.)	""","{""selected_filter"": {""Primary Endpoint"": ""Path CR""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Primary endpoint"", ""Column 6"": ""Clinical setting in relation to surgery"", ""Column 7"": ""Study name"", ""Column 8"": ""Cancer type"", ""Column 9"": ""Name of ICI"", ""Column 10"": ""Monotherapy/combination""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
46,"List trials that had objective response rate (ORR) as the primary endpoint.	""","{""selected_filter"": {""Primary Endpoint"": ""ORR""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Type of combination"", ""Column 10"": ""Clinical setting in relation to surgery""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
47,"Which trials used overall survival (OS) as the primary endpoint?	""","{""selected_filter"": {""Primary Endpoint"": ""OS""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Control regimen"", ""Column 10"": ""Trial phase""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
48,"Which trials used progression-free survival (PFS) as the primary endpoint?	""","{""selected_filter"": {""Primary Endpoint"": ""PFS""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Clinical setting in relation to surgery"", ""Column 10"": ""Trial phase""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
49,"In which trials was relapse-free (disease-free) survival (RFS/DFS) the primary endpoint?	""","{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Clinical setting in relation to surgery"", ""Column 8"": ""Treatment regimen"", ""Column 9"": ""Control regimen"", ""Column 10"": ""Trial phase""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [{""Primary Endpoint"": ""Relapse-free survival (RFS)/Disease-free survival (DFS)""}], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
50,"Which trials used event-free survival (EFS) as a primary (or co-primary) endpoint?	""","{""selected_filter"": {""Primary Endpoint"": ""EFS""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Primary endpoint"", ""Column 7"": ""Trial phase"", ""Column 8"": ""Cancer type"", ""Column 9"": ""Name of ICI"", ""Column 10"": ""Monotherapy/combination""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
51,"Were there trials primarily focused on safety (with safety as the primary endpoint)?	""","{""selected_filter"": {""Primary Endpoint"": ""Safety""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Trial phase"", ""Column 7"": ""Cancer type"", ""Column 8"": ""Name of ICI"", ""Column 9"": ""Class of ICI"", ""Column 10"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
52,"Which NSCLC trials required a certain level of PD-L1 expression for enrollment?	""","{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Class of ICI"", ""Column 7"": ""Treatment regimen"", ""Column 8"": ""Control regimen"", ""Column 9"": ""Is PD-L1 positivity inclusion criteria""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
53,"Which immunotherapy trials in colorectal cancer were restricted to MSI-H/dMMR tumors?	""","{""selected_filter"": {""Cancer Type"": ""Colorectal""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Monotherapy/combination"", ""Column 8"": ""Type of combination"", ""Column 9"": ""Control regimen"", ""Column 10"": ""Is any other biomarker used for inclusion""}}","{""dropped_non_canonical_filter_keys"": [""Therapy Type"", ""Biomarker Status""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
54,"Are there immunotherapy trials in pancreatic cancer? If so, did they require a biomarker (e.g., MSI-H) for inclusion?	""","{""selected_filter"": {""Cancer Type"": ""Pancreatic Cancer""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Class of ICI"", ""Column 7"": ""Is any other biomarker used for inclusion""}}","{""dropped_non_canonical_filter_keys"": [""Intervention Type""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
55,"Have immune checkpoint inhibitors been trialed in prostate cancer (perhaps only in biomarker-selected cases)?	""","{""selected_filter"": {""Cancer Type"": ""Prostate""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Is any other biomarker used for inclusion"", ""Column 10"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [""Intervention Class""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
56,"Are there any trials of ICIs in multiple myeloma? List any and their primary endpoints.	""","{""selected_filter"": {""Cancer Type"": ""Multiple Myeloma""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
57,"Which immunotherapy trials have been conducted in mesothelioma, and what regimens were tested?	""","{""selected_filter"": {""Cancer Type"": ""Mesothelioma""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Class of ICI"", ""Column 7"": ""Monotherapy/combination"", ""Column 8"": ""Type of combination"", ""Column 9"": ""Treatment regimen"", ""Column 10"": ""Control regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
58,"Which NSCLC trials have follow-up publications with updated results?	""","{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Type of Study"": ""Follow-up""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Primary endpoint"", ""Column 7"": ""Follow-up duration for primary endpoint(s) in months"", ""Column 8"": ""Type of follow-up given""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
59,"List any follow-up analyses of melanoma immunotherapy trials and their publication details.	""","{""selected_filter"": {""Cancer Type"": ""Melanoma"", ""Type of Study"": ""Follow-up""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Trial phase"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Class of ICI"", ""Column 9"": ""Follow-up duration for primary endpoint(s) in months""}}","{""dropped_non_canonical_filter_keys"": [""Therapy Type""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
60,"Which Phase III trials had co-primary or multiple primary endpoints (e.g., both PFS and OS)?	""","{""selected_filter"": {""Trial Phase"": ""Phase 3""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Primary endpoint"", ""Column 7"": ""Primary multiple, composite, or co-primary endpoints?""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
61,"For trials where OS was the primary endpoint, what follow-up duration was reported?	""","{""selected_filter"": {""Primary Endpoint"": ""OS""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Follow-up duration for primary endpoint(s) in months""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
62,"What median follow-up time is reported for trials with PFS as the primary endpoint?	""","{""selected_filter"": {""Primary Endpoint"": ""PFS""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Primary endpoint"", ""Column 6"": ""Follow-up duration for primary endpoint(s) in months""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
63,"Identify any immunotherapy trials that had more than two arms (multi-arm trials).	""","{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Number of arms"", ""Column 6"": ""Study name"", ""Column 7"": ""Cancer type"", ""Column 8"": ""Name of ICI"", ""Column 9"": ""Monotherapy/combination"", ""Column 10"": ""Control regimen""}}","{""dropped_non_canonical_filter_keys"": [""Intervention type"", ""Number of arms""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
64,"Which trials evaluated ICIs as first-line (1L) therapy in advanced NSCLC?	""","{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Clinical Setting"": ""Metastatic / Recurrent (Unresectable)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Monotherapy/combination"", ""Column 8"": ""Type of combination"", ""Column 9"": ""Control regimen"", ""Column 10"": ""Lines of treatment""}}","{""dropped_non_canonical_filter_keys"": [""Intervention Class"", ""Line of Therapy""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
65,"Which immunotherapy trials studied second-line (post-chemotherapy) treatment in bladder cancer?	""","{""selected_filter"": {""Cancer Type"": ""Bladder""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Class of ICI"", ""Column 7"": ""Monotherapy/combination"", ""Column 8"": ""Clinical setting in relation to surgery""}}","{""dropped_non_canonical_filter_keys"": [""Lines of treatment""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
66,"Which immunotherapy trials in head and neck cancer were published in the last 2 years, and what were their primary endpoints?	""","{""selected_filter"": {""Cancer Type"": ""Head and Neck (HNSCC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [""Intervention Type"", ""Publication Year""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
67,"What is the PubMed ID for the KEYNOTE-024 trial (pembrolizumab vs chemotherapy in NSCLC)?	""","{""selected_filter"": {""ICI Name"": ""Pembrolizumab"", ""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Control Arm"": ""Chemo"", ""Clinical Setting"": ""Metastatic / Recurrent (Unresectable)"", ""Trial Phase"": ""Phase 3""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
68,"Find the NCT identifier for the CheckMate 067 trial (nivolumab + ipilimumab in melanoma).	""","{""selected_filter"": {""Cancer Type"": ""Melanoma"", ""Type of Therapy"": ""Combination"", ""Type of combination (Treatment Arm)"": ""ICI + ICI""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
69,"Which trials reported quality-of-life outcomes as secondary endpoints?	""","{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Primary endpoint"", ""Column 7"": ""Secondary endpoint""}}","{""dropped_non_canonical_filter_keys"": [""Secondary endpoint""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
70,"What kinds of data are reported in follow-up publications (e.g., updated OS, longer follow-up times)?	""","{""selected_filter"": {""Type of Study"": ""Follow-up""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Primary endpoint"", ""Column 7"": ""Secondary endpoint"", ""Column 8"": ""Type of follow-up given"", ""Column 9"": ""Follow-up duration for primary endpoint(s) in months""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
71,"Which trials were included in the meta-analysis dataset?	""","{""selected_filter"": {""Included in MA"": ""Yes""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Class of ICI"", ""Column 9"": ""Primary endpoint"", ""Column 10"": ""Total sample size""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
72,"Which trials were excluded from the meta-analysis and did not contribute data?	""","{""selected_filter"": {""Included in MA"": ""No""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
73,"List the original trial publications for immunotherapy in renal cell carcinoma (RCC).	""","{""selected_filter"": {""Cancer Type"": ""Renal Cell Carcinoma (RCC)"", ""Type of Study"": ""Original publication""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Control regimen"", ""Column 10"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
74,"List all Phase 3 trials in gastric cancer that involved a PD-L1 inhibitor.	""","{""selected_filter"": {""Trial Phase"": ""Phase 3"", ""Cancer Type"": ""Gastric/GEJ"", ""ICI Class"": ""PD-L1""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Monotherapy/combination"", ""Column 8"": ""Treatment regimen"", ""Column 9"": ""Control regimen"", ""Column 10"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
75,"Which trials have investigated PD-1 inhibitors in esophageal or gastroesophageal junction cancers?	""","{""selected_filter"": {""ICI Class"": ""PD-1"", ""Cancer Type"": ""Esophageal/GEJ""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Clinical setting in relation to surgery"", ""Column 8"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
76,"What immunotherapy trials have been conducted in small cell lung cancer (SCLC), and what endpoints did they use?	""","{""selected_filter"": {""Cancer Type"": ""Small Cell Lung Cancer (SCLC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Cancer type"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Primary endpoint"", ""Column 10"": ""Secondary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
77,"Which head and neck cancer trials used overall survival (OS) as a primary endpoint?	""","{""selected_filter"": {""Cancer Type"": ""Head and Neck (HNSCC)"", ""Primary Endpoint"": ""OS""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
78,"Which immune checkpoint inhibitors have been tested in head and neck cancer trials?	""","{""selected_filter"": {""Cancer Type"": ""Head and Neck (HNSCC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Class of ICI"", ""Column 7"": ""Study name"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Treatment regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
79,"Which immune checkpoint inhibitors have been evaluated in breast cancer trials?	""","{""selected_filter"": {""Cancer Type"": ""Breast""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Class of ICI"", ""Column 7"": ""Monotherapy/combination"", ""Column 8"": ""Type of combination"", ""Column 9"": ""Clinical setting in relation to surgery"", ""Column 10"": ""Study name""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
